name,method_name,qiskit_version,release_date,sample_size,platform_name,metric_name,metric_value,seed
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,96
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,97
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,97
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,7,98
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,12,98
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,99
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,15,99
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth - ave,10.4
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth - stdev,1.477
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count - ave,16.28
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count - stdev,2.421
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,0
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,16,0
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,10,1
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,16,1
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,9,2
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,13,2
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,10,3
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,15,3
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,4
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,14,4
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,9,5
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,13,5
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,6
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,16,6
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,7
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,13,7
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,8
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,12,8
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,10,9
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,18,9
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,10
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,14,10
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,9,11
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,14,11
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,12
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,15,12
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,10,13
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,19,13
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,14
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,14,14
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,10,15
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,gate count,16,15
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,rigetti_16q_aspen,circuit depth,8,16
